sku,descripcion,stock,fecha
AR-AVC-5,Dukier Avocado Arnés Reversible XL,169,2025-05-06
AR-NEO-1,Dukier Neón Arnés Reversible XS,0,2025-05-06
AR-NEO-2,Dukier Neón Arnés Reversible S,0,2025-05-06
AR-NEO-3,Dukier Neón Arnés Reversible M,0,2025-05-06
AR-NEO-4,Dukier Neón Arnés Reversible L,0,2025-05-06
AR-NEO-5,Dukier Neón Arnés Reversible XL,0,2025-05-06
AC-SKL-2,Dukier Skulls Arnés Clásico S,0,2025-05-06
AC-SKL-3,Dukier Skulls Arnés Clásico M,0,2025-05-06
AC-SKL-4,Dukier Skulls Arnés Clásico L,0,2025-05-06
AC-SVN-2,Dukier Savana Arnés Clásico S,0,2025-05-06
AC-SVN-3,Dukier Savana Arnés Clásico M,0,2025-05-06
AC-SVN-4,Dukier Savana Arnés Clásico L,0,2025-05-06
AC-CPK-2,Dukier Cupcakes Arnés Clásico S,0,2025-05-06
AC-CPK-3,Dukier Cupcakes Arnés Clásico M,0,2025-05-06
AC-CPK-4,Dukier Cupcakes Arnés Clásico L,1,2025-05-06
AC-SPD-2,Dukier Superdog Arnés Clásico S,146,2025-05-06
AC-SPD-3,Dukier Superdog Arnés Clásico M,0,2025-05-06
AC-SPD-4,Dukier Superdog Arnés Clásico L,35,2025-05-06
AC-CMO-2,Dukier Camo Arnés Clásico S,164,2025-05-06
AC-CMO-3,Dukier Camo Arnés Clásico M,0,2025-05-06
AC-CMO-4,Dukier Camo Arnés Clásico L,135,2025-05-06
AC-DGT-2,Dukier Dogtella Arnés Clásico S,113,2025-05-06
AC-DGT-3,Dukier Dogtella Arnés Clásico M,100,2025-05-06
AC-DGT-4,Dukier Dogtella Arnés Clásico L,0,2025-05-06
AC-SPC-2,Dukier Space Arnés Clásico S,0,2025-05-06
AC-SPC-3,Dukier Space Arnés Clásico M,0,2025-05-06
AC-SPC-4,Dukier Space Arnés Clásico L,0,2025-05-06
AC-NGR-2,Dukier Nigiri Arnés Clásico S,0,2025-05-06
AC-NGR-3,Dukier Nigiri Arnés Clásico M,0,2025-05-06
AC-NGR-4,Dukier Nigiri Arnés Clásico L,0,2025-05-06
AC-HDG-2,Dukier Heladog Arnés Clásico S,0,2025-05-06
AC-HDG-3,Dukier Heladog Arnés Clásico M,0,2025-05-06
AC-HDG-4,Dukier Heladog Arnés Clásico L,0,2025-05-06
AC-AVC-2,Dukier Avocado Arnés Clásico S,99,2025-05-06
AC-AVC-3,Dukier Avocado Arnés Clásico M,69,2025-05-06
AC-AVC-4,Dukier Avocado Arnés Clásico L,57,2025-05-06
AC-NEO-2,Dukier Neón Arnés Clásico S,0,2025-05-06
AC-NEO-3,Dukier Neón Arnés Clásico M,0,2025-05-06
AC-NEO-4,Dukier Neón Arnés Clásico L,0,2025-05-06
CR-SKL-2,Dukier Skulls Correa S,85,2025-05-06
CR-SKL-4,Dukier Skulls Correa L,0,2025-05-06
CR-SVN-2,Dukier Savana Correa S,1,2025-05-06
CR-SVN-4,Dukier Savana Correa L,0,2025-05-06
CR-CPK-2,Dukier Cupcakes Correa S,1,2025-05-06
