sku,descripcion,costo_fabricacion,precio_venta,categoria,margen
AR-STC-1,ARNÉS AJUSTABLE STICKERS XS,3,13,ARNÉS AJUSTABLE,10
CL-SML-3,Collar Smiley M,2,9,COLLAR PERRO,7
BH-MNT-4,Body Mint L,3,11,ARNÉS BODY,8
PB-MON-2,POO BAG HOLDER CACA MONSTERA,2,7,PORTA BOLSAS,5
AC-BEE-2,Dukier Beer Arnés Clásico S,2,13,ARNÉS CLÁSICO,11
CL-PKG-3,Collar Pink GALAXY M,2,10,COLLAR PERRO,8
AF-PRP-0,LICK MAT PURPLE,3,12,LICK MAT,9
CRV-GRN-4,LEASH PVC GREEN PVC L,4,18,PVC CORREA,14
CL-GMM-4,Dukier Bears Gummy Collar L,2,12,COLLAR PERRO,10
AR-TAT-5,ARNES REVERSIBLE TATTOO XL,5,16,ARNÉS REVERSIBLE,11
CLV-BLU-2,COLLAR PVC BLUE PVC S,2,14,PVC COLLAR PERRO,12
AR-SWT-5,ARNÉS REVERSIBLE SWEETS XL,5,16,ARNÉS REVERSIBLE,11
PB-TAT-2,PORTA BOLSAS TATTOO,2,5,PORTA BOLSAS,3
RC-STM-7,Chubasqueros Storm XXXL,5,13,CHUBASQUERO,8
AT-TAT-3,ARNÉS TRAIL TATTOO M,7,21,ARNÉS TRAIL,14
AR-MMD-2,Dukier Mermaid Arnés Reversible S,3,16,ARNÉS REVERSIBLE,13
AC-DGT-4,ARNÉS CLÁSICO DOGTELLA L,3,10,ARNÉS CLÁSICO,7
CL-AVC-1,Collar AVOCADO XS,1,10,COLLAR PERRO,9
AT-ALN-3,ARNÉS TRAIL ALIEN M,7,24,ARNÉS TRAIL,17
PB-DGT-2,PORTA BOLSAS DOGTELLA,2,6,PORTA BOLSAS,4
BH-PRP-2,Body Purple S,2,12,ARNÉS BODY,10
CL-MMD-1,Dukier Mermaid Collar Xs,1,10,COLLAR PERRO,9
BH-PNK-1,Body Pink XS,2,12,ARNÉS BODY,10
CR-BRY-2,Dukier Berry Love Correa S,2,14,CORREA,12
BH-MNT-3,Body Mint M,2,11,ARNÉS BODY,9
AR-LPG-2,Arnés Ajustable Cheetah Gold S,3,15,ARNÉS AJUSTABLE,12
CL-MNT-1,Collar Mint XS,1,9,COLLAR PERRO,8
PBV-BLK-2,POO BAG HOLDER BLACK PVC U,2,6,PVC PORTA BOLSAS,4
BH-PRP-5,Body Purple XL,3,13,ARNÉS BODY,10
PC-FPW-U,COLGADOR FLOWER POWER U,1,5,COLGADOR DE BOLSAS,4
AT-MON-2,0,7,28,ARNÉS TRAIL,21
BK-CHR-U,BLANKET CHURROS,8,19,BLANKET,11
PBV-COR-2,0,2,8,PVC PORTA BOLSAS,6
PBV-PRP-2,0,2,8,PVC PORTA BOLSAS,6
PBV-SGR-2,0,2,8,PVC PORTA BOLSAS,6
CG-PKG-0,Collar GATO PINK GALAXY U,1,5,GATO,4
CL-PRP-4,Collar Purple L,2,9,COLLAR PERRO,7
RC-RBW-5,Chubasqueros Rainbow XL,5,12,CHUBASQUERO,7
BH-MNT-2,Body Mint S,2,11,ARNÉS BODY,9
AR-PCE-1,Dukier Peace Arnés Reversible Xs,3,15,ARNÉS REVERSIBLE,12
AC-PNK-3,Arnés Clásico Pink M,2,12,ARNÉS CLÁSICO,10
RC-RBW-1,Chubasqueros Rainbow XS,5,9,CHUBASQUERO,4
CL-FPW-1,Collar FLOWER POWER XS,1,11,COLLAR PERRO,10
BK-TRN-U,BLANKET TARTAN RED,8,15,BLANKET,7
PBV-YEL-2,0,2,8,PVC PORTA BOLSAS,6
AC-STC-2,ARNÉS CLÁSICO STICKERS S,2,15,ARNÉS CLÁSICO,13
CL-ALN-3,COLLAR ALIEN M,2,12,COLLAR PERRO,10
CLV-BEI-4,COLLAR PVC BEIGE PVC L,3,15,PVC COLLAR PERRO,12
PJ-LPG-4,Pajarita Cheetah Gold U,1,5,PAJARITA,4
AR-PCE-3,Dukier Peace Arnés Reversible M,4,16,ARNÉS REVERSIBLE,12
BH-GMM-3,BODY HARNESS GUMMY BEARS M,2,10,ARNÉS BODY,8
RC-RND-7,Dukier Chubasqueros RAINDROPS XXXL,5,13,CHUBASQUERO,8
CT-DGT-0,COLETERO DOGTELLA U,1,5,COLETERO,4
ACV-BLU-2,CLASSIC HARNESS PVC BLUE PVC S,4,19,PVC ARNÉS CLÁSICO,15
CRV-BLU-2,LEASH PVC BLUE PVC S,4,18,PVC CORREA,14
CL-FPW-4,Collar FLOWER POWER L,2,11,COLLAR PERRO,9
ACV-GRN-2,CLASSIC HARNESS PVC GREEN PVC S,4,19,PVC ARNÉS CLÁSICO,15
DP-YEL-0,BEBEDERO PLEGABLE PARA PERRO YELLOW,2,6,BEBEDEROS,4
ACV-BLK-4,CLASSIC HARNESS PVC BLACKPVC L,5,19,PVC ARNÉS CLÁSICO,14
RC-RBW-4,Chubasqueros Rainbow L,5,11,CHUBASQUERO,6
CRV-BEI-2,LEASH PVC BEIGE PVC S,4,18,PVC CORREA,14
BH-TAT-4,BODY HARNESS TATTOO L,3,11,ARNÉS BODY,8
CRV-PNK-2,LEASH PVC PINK PVC S,4,18,PVC CORREA,14
CL-ALN-2,COLLAR ALIEN S,2,13,COLLAR PERRO,11
CRV-GRN-2,LEASH PVC GREEN PVC S,4,18,PVC CORREA,14
CL-PRP-2,Collar Purple S,2,10,COLLAR PERRO,8
ACV-BEI-2,CLASSIC HARNESS PVC BEIGE PVC S,4,19,PVC ARNÉS CLÁSICO,15
ACV-COR-2,0,4,17,PVC ARNÉS CLÁSICO,13
BH-GMM-2,BODY HARNESS GUMMY BEARS S,2,9,ARNÉS BODY,7
ACV-PRP-2,0,4,17,PVC ARNÉS CLÁSICO,13
ACV-SGR-2,0,4,17,PVC ARNÉS CLÁSICO,13
ACV-YEL-2,0,4,17,PVC ARNÉS CLÁSICO,13
BK-TRR-U,BLANKET TARTAN GREEN,8,17,BLANKET,9
PB-AVC-2,PORTA BOLSAS AVOCADO,2,5,PORTA BOLSAS,3
AF-BLU-0,LICK MAT BLUE,3,12,LICK MAT,9
AT-DGT-5,ARNÉS TRAIL DOGTELLA XL,8,20,ARNÉS TRAIL,12
CL-ALN-1,COLLAR ALIEN XS,1,11,COLLAR PERRO,10
PJ-FPW-4,PAJARITA FLOWER POWER L,1,5,PAJARITA,4
BH-BLU-2,Body Blue S,2,9,ARNÉS BODY,7
CL-PNK-4,Collar Pink L,2,10,COLLAR PERRO,8
BH-BLU-3,Body Blue M,2,11,ARNÉS BODY,9
BH-FPW-4,BODY HARNESS FLOWER POWER L,3,11,ARNÉS BODY,8
PB-SGR-2,POO BAG HOLDER SOFT GREEN U,2,8,PORTA BOLSAS,6
AC-BRY-3,Dukier Berry Love ArnÈs Clásico M,2,14,ARNÉS CLÁSICO,12
BH-MNT-5,Body Mint XL,3,12,ARNÉS BODY,9
AT-TAT-5,ARNÉS TRAIL TATTOO XL,8,20,ARNÉS TRAIL,12
CL-STC-4,Collar STICKERS L,2,8,COLLAR PERRO,6
ACV-BLK-3,CLASSIC HARNESS PVC BLACK PVC M,5,19,PVC ARNÉS CLÁSICO,14
AC-STC-3,ARNÉS CLÁSICO STICKERS M,2,10,ARNÉS CLÁSICO,8
MN-SML-0,Manta enrollable Smiley U,8,24,MANTA ENROLLABLE,16
CG-PLN-0,Collar GATO PLANTS U,1,4,GATO,3
RC-AVC-7,Dukier Chubasqueros AVOCADO XXXL,5,13,CHUBASQUERO,8
RC-RND-6,Dukier Chubasqueros RAINDROPS XXL,5,12,CHUBASQUERO,7
BH-FPW-5,BODY HARNESS FLOWER POWER XL,3,11,ARNÉS BODY,8
AR-CLF-5,ARNÉS REVERSIBLE CALIFORNIA XL,5,13,ARNÉS REVERSIBLE,8
CL-MNT-3,Collar Mint M,2,10,COLLAR PERRO,8
AR-ALN-5,ARNÉS AJUSTABLE ALIEN XL,5,16,ARNÉS AJUSTABLE,11
CR-PLN-2,CORREA PLANTS S,2,17,CORREA,15
PBV-PNK-2,POO BAG HOLDER PINK PVC U,2,6,PVC PORTA BOLSAS,4
AC-LPG-3,Arnés Clásico Cheetah Gold M,2,11,ARNÉS CLÁSICO,9
CL-BRY-4,Dukier Berry Love Collar L,2,12,COLLAR PERRO,10
CR-DGT-2,CORREA DOGTELLA S,2,15,CORREA,13
AR-CLF-4,ARNÉS REVERSIBLE CALIFORNIA L,4,14,ARNÉS REVERSIBLE,10
AR-PCE-5,Dukier Peace Arnés Reversible XL,5,18,ARNÉS REVERSIBLE,13
RC-AVC-3,Dukier Chubasqueros Avocado M,5,10,CHUBASQUERO,5
AR-FPW-5,ARNÉS AJUSTABLE FLOWER POWER XL,5,14,ARNÉS AJUSTABLE,9
CR-TRT-4,CORREA TURTLE L,3,15,CORREA,12
CL-FPW-3,Collar FLOWER POWER M,2,12,COLLAR PERRO,10
CL-PNK-2,Collar Pink S,2,10,COLLAR PERRO,8
AR-ALN-4,ARNÉS AJUSTABLE ALIEN L,4,20,ARNÉS AJUSTABLE,16
CLV-BLU-3,COLLAR PVC BLUE PVC M,3,14,PVC COLLAR PERRO,11
CL-RED-4,Collar Red L,2,9,COLLAR PERRO,7
CL-BRY-1,Dukier Berry Love Collar Xs,1,11,COLLAR PERRO,10
CO-RED-2,RED COAT S,6,23,ABRIGO,17
AC-RED-2,Arnés Clásico Red S,2,12,ARNÉS CLÁSICO,10
BH-PNK-5,Body Pink XL,3,12,ARNÉS BODY,9
CR-BRY-4,Dukier Berry Love Correa L,3,16,CORREA,13
AR-SWT-2,ARNÉS REVERSIBLE SWEETS S,3,16,ARNÉS REVERSIBLE,13
AC-MON-4,Arnés Clásico Monstera L,3,15,ARNÉS CLÁSICO,12
AR-TAT-4,ARNES REVERSIBLE TATTOO L,4,16,ARNÉS REVERSIBLE,12
AR-SWT-4,ARNÉS REVERSIBLE SWEETS L,4,17,ARNÉS REVERSIBLE,13
CT-SML-0,COLETERO SMILEY U,1,5,COLETERO,4
PB-PCE-2,Dukier Peace Porta Bolsas U,2,6,PORTA BOLSAS,4
AR-LPG-5,Arnés Ajustable Cheetah Gold XL,5,18,ARNÉS AJUSTABLE,13
AR-BEE-5,Dukier Beer Arnés Ajustable Xl,5,16,ARNÉS AJUSTABLE,11
AR-BEE-3,Dukier Beer Arnés Ajustable M,4,18,ARNÉS AJUSTABLE,14
AC-SML-3,Arnés Clásico Smiley M,2,13,ARNÉS CLÁSICO,11
RC-CLD-7,Dukier Chubasqueros CLOUDS XXXL,5,12,CHUBASQUERO,7
ACV-BLK-2,CLASSIC HARNESS PVC BLACK PVC S,4,19,PVC ARNÉS CLÁSICO,15
DP-RED-0,BEBEDERO PLEGABLE PARA PERRO RED,2,7,BEBEDEROS,5
CL-VIO-1,COLLAR SOFT PURPLE XS,1,6,COLLAR PERRO,5
AR-ALN-3,ARNÉS AJUSTABLE ALIEN M,4,18,ARNÉS AJUSTABLE,14
AC-VIO-4,CLASSIC HARNESS SOFT PURPLE L,2,9,ARNÉS CLÁSICO,7
DP-GRN-0,BEBEDERO PLEGABLE PARA PERRO GREEN,2,6,BEBEDEROS,4
CL-SML-2,Collar Smiley S,2,12,COLLAR PERRO,10
CL-ALN-4,COLLAR ALIEN L,2,12,COLLAR PERRO,10
DP-BLE-0,BEBEDERO PLEGABLE PARA PERRO BLUE,2,7,BEBEDEROS,5
BH-AVC-3,Body Avocado M,2,12,ARNÉS BODY,10
RC-STM-5,Chubasqueros Storm XL,5,13,CHUBASQUERO,8
CO-PRP-3,PURPLE COAT M,6,24,ABRIGO,18
DP-PNK-0,BEBEDERO PLEGABLE PARA PERRO PINK,2,7,BEBEDEROS,5
AT-FPW-2,Arnés Trail Flower Power S,7,25,ARNÉS TRAIL,18
DP-BLU-0,Bebedero Plegable Mint,2,7,BEBEDEROS,5
ACV-PNK-2,CLASSIC HARNESS PVC PINK PVC S,4,19,PVC ARNÉS CLÁSICO,15
PB-DUK-2,PORTA BOLSAS LOGO DUKIER,2,6,PORTA BOLSAS,4
BH-YLL-4,Body Lime L,3,14,ARNÉS BODY,11
CR-TRT-2,CORREA TURTLE S,2,14,CORREA,12
CL-MMD-2,Dukier Mermaid Collar S,2,11,COLLAR PERRO,9
CL-GMM-3,Dukier Bears Gummy Collar M,2,12,COLLAR PERRO,10
CLV-BLU-4,COLLAR PVC BLUE PVC L,3,14,PVC COLLAR PERRO,11
CRV-BLK-4,LEASH PVC BLACK PVC L,4,18,PVC CORREA,14
CR-SGR-2,LEASH SOFT GREEN S,2,9,CORREA,7
CL-YLL-3,Collar Lime M,2,10,COLLAR PERRO,8
CLV-BLK-2,COLLAR PVC BLACK PVC S,2,14,PVC COLLAR PERRO,12
CL-SML-1,Collar Smiley XS,1,11,COLLAR PERRO,10
AC-AVC-4,ARNÉS CLÁSICO AVOCADO L,3,13,ARNÉS CLÁSICO,10
RC-CLD-5,Dukier Chubasqueros Clouds Xl,5,14,CHUBASQUERO,9
AR-GMM-4,Dukier Bears Gummy Arnés Ajustable L,4,18,ARNÉS AJUSTABLE,14
AC-SML-2,Arnés Clásico Smiley S,2,13,ARNÉS CLÁSICO,11
PB-MMD-2,Dukier Mermaid Porta Bolsas U,2,6,PORTA BOLSAS,4
RC-STM-1,Chubasqueros Storm XS,5,11,CHUBASQUERO,6
AR-FPW-3,ARNÉS AJUSTABLE FLOWER POWER M,4,17,ARNÉS AJUSTABLE,13
BH-BRY-2,BODY HARNESS BERRY LOVE S,2,9,ARNÉS BODY,7
AT-ALN-5,ARNÉS TRAIL ALIEN XL,8,24,ARNÉS TRAIL,16
BH-TAT-2,BODY HARNESS TATTOO S,2,9,ARNÉS BODY,7
CR-AVC-2,CORREA AVOCADO S,2,12,CORREA,10
BH-DGT-3,Body Dogtella M,2,12,ARNÉS BODY,10
BH-SML-5,Body Smiley XL,3,13,ARNÉS BODY,10
TW-AVC-0,Dukier Toallas Avocado U,4,12,TOALLA,8
PC-SWT-U,COLGADOR DE BOLSAS SWEETS U,1,5,COLGADOR DE BOLSAS,4
PB-VIO-2,POO BAG HOLDER SOFT PURPLE U,2,8,PORTA BOLSAS,6
TW-MMD-0,Dukier Toallas Mermaid U,4,13,TOALLA,9
PB-FPW-2,PORTA BOLSAS FLOWER POWER U,2,5,PORTA BOLSAS,3
CL-BRY-2,Dukier Berry Love Collar S,2,12,COLLAR PERRO,10
AT-MMD-2,ARNÉS TRAIL MERMAID S,7,23,ARNÉS TRAIL,16
BH-SML-4,Body Smiley L,3,12,ARNÉS BODY,9
AC-GMM-2,Dukier Bears Gummy Arnés Clásico S,2,14,ARNÉS CLÁSICO,12
PB-CLF-2,PORTA BOLSAS CALIFORNIA U,2,5,PORTA BOLSAS,3
AC-DGT-2,ARNÉS CLÁSICO DOGTELLA S,2,12,ARNÉS CLÁSICO,10
AC-UNC-4,ARNÉS CLÁSICO UNICORNS L,3,12,ARNÉS CLÁSICO,9
PC-TRT-U,COLGADOR DE BOLSAS TURTLE U,1,6,COLGADOR DE BOLSAS,5
CL-PCE-2,Dukier Peace Collar S,2,11,COLLAR PERRO,9
PB-BLU-2,Porta Bolsas Blue U,2,5,PORTA BOLSAS,3
CL-PNK-1,Collar Pink XS,1,8,COLLAR PERRO,7
AC-LPG-4,Arnés Clásico Cheetah Gold L,3,13,ARNÉS CLÁSICO,10
CR-LPG-4,Correa Cheetah Gold L,3,16,CORREA,13
